url,label,kategori
https://ccunpacked.dev/,safe,Live Safe (Tech News)
https://home.cern/news/news/engineering/cern-levels-new-superconducting-karts,safe,Live Safe (Tech News)
https://www.science.org/content/article/neanderthals-survived-knife-s-edge-350-000-years,safe,Live Safe (Tech News)
https://blog.calif.io/p/mad-bugs-vim-vs-emacs-vs-claude,safe,Live Safe (Tech News)
https://www.jeffgeerling.com/blog/2026/minidv-with-raspberry-pi-firewire-hat/,safe,Live Safe (Tech News)
https://arxiv.org/abs/2602.04118,safe,Live Safe (Tech News)
https://chrisseaton.com/truffleruby/,safe,Live Safe (Tech News)
https://prismml.com/,safe,Live Safe (Tech News)
https://scottlawsonbc.com/post/dot-system,safe,Live Safe (Tech News)
https://github.com/yannick-cw/korb,safe,Live Safe (Tech News)
https://ministack.org/,safe,Live Safe (Tech News)
https://alex000kim.com/posts/2026-03-31-claude-code-source-leak/,safe,Live Safe (Tech News)
https://www.dbpro.app/blog/chess-in-pure-sql,safe,Live Safe (Tech News)
https://www.cnbc.com/2026/03/31/openai-funding-round-ipo.html,safe,Live Safe (Tech News)
https://swiftrocks.com/digitizing-photos-from-the-1998-game-boy-camera,safe,Live Safe (Tech News)
http://lughat.blogspot.com/2017/10/butterfly-collecting-history-of-insult.html,safe,Live Safe (Tech News)
https://www.geekbench.com/blog/2026/03/analyzing-geekbench-6-under-intels-bot/,safe,Live Safe (Tech News)
https://github.com/danieldugas/HYPERHELL,safe,Live Safe (Tech News)
https://www.greptile.com/blog/ai-slopware-future,safe,Live Safe (Tech News)
https://nautil.us/ordinary-lab-gloves-may-have-skewed-microplastic-data-1279386,safe,Live Safe (Tech News)
https://solvespace.com/webver.pl,safe,Live Safe (Tech News)
https://responsiblestatecraft.org/iran-strait-of-hormuz/,safe,Live Safe (Tech News)
https://hypha.pub/back-to-freebsd-part-2,safe,Live Safe (Tech News)
https://github.com/ericlewis/libpo32,safe,Live Safe (Tech News)
https://cohere.com/blog/transcribe,safe,Live Safe (Tech News)
https://www.stepsecurity.io/blog/axios-compromised-on-npm-malicious-versions-drop-remote-access-trojan,safe,Live Safe (Tech News)
https://github.com/timescale/pg_textsearch,safe,Live Safe (Tech News)
https://tech.stonecharioteer.com/posts/2026/tailscale-exit-nodes/,safe,Live Safe (Tech News)
https://news.future-shock.ai/the-weight-of-remembering/,safe,Live Safe (Tech News)
https://www.os2museum.com/wp/learn-something-old-every-day-part-xviii-how-does-fpu-detection-work/,safe,Live Safe (Tech News)
https://pedagiodigital-auto.com/atendimento/home.php,phishing,Typosquatting
http://sso-en-ca-netcoins-com-nav-azure.webflow.io/,phishing,Mixed Content
https://ckoinsquayrelogin.webflow.io/,phishing,Credential Harvesting
http://www.instagram-clone-lime.vercel.app/,phishing,Mixed Content
https://kucologinn.webflow.io/,phishing,Credential Harvesting
http://www.netflix-clone-six-black.vercel.app/,phishing,Mixed Content
http://bafybeigbqwmxazxynaputje3qz5bp5im3grqzyqdzb3r3xb5uuzysijlt4.ipfs.infura-ipfs.io/,phishing,Mixed Content
http://bitmartloginx.webflow.io/,phishing,Mixed Content
https://kuocoinlognco.godaddysites.com/,phishing,Typosquatting
http://www.kuocoinlognco.godaddysites.com/,phishing,Mixed Content
https://shopeeid0277.blogspot.com/,phishing,Typosquatting
https://www.shopeeid0277.blogspot.com/,phishing,Typosquatting
https://verifyhub.agency-partner-manage.com/,phishing,Credential Harvesting
https://spotify-clone-sepia-nine.vercel.app/,phishing,Typosquatting
https://gemini.jerryfage.top/,phishing,Suspicious TLDs
https://www.elglobomalaga.es/,phishing,Typosquatting
https://site-aic91fv1h.godaddysites.com/,phishing,Typosquatting
http://www.site-aic91fv1h.godaddysites.com/,phishing,Mixed Content
https://www.gnigginnladgu.godaddysites.com/,phishing,Typosquatting
https://gnigginnladgu.godaddysites.com/,phishing,Typosquatting
https://ncloneapp.netlify.app/,phishing,Typosquatting
http://effulgent-phoenix-778ccd.netlify.app/,phishing,Mixed Content
https://www.robiox.com.py/users/358158342831/profile,phishing,Typosquatting
https://booking-clone-next-js.vercel.app/,phishing,Typosquatting
http://www.booking-clone-next-js.vercel.app/,phishing,Mixed Content
http://rogerlicentree.github.io/Rogers,phishing,Mixed Content
http://a1.1faw.com/,phishing,Mixed Content
http://www.netflix-clone-coral-ten.vercel.app/,phishing,Mixed Content
http://hgbm.se/,phishing,Mixed Content
https://gb-hochbau.cc/Vergabe/Portal/BC92kLm/20260223/KFR-RFQ/Arbeiten-gemaess-Baubeschreibung/Anhange3,phishing,Typosquatting
http://www.robiox.com.py/users/217025834840/profile,phishing,Mixed Content
https://changepasswordd.com/,phishing,Typosquatting
http://hgbm.se/de/,phishing,Mixed Content
http://roblox.com.ge/users/3567083155/profile,phishing,Mixed Content
https://ilogin-robinhood.gitbook.io/,phishing,Credential Harvesting
http://sso-netcoins-com-ca-auth.webflow.io/,phishing,Mixed Content
https://stellarbegonia-hu.netlify.app/,phishing,Typosquatting
http://kucoin-login-authh.webflow.io/,phishing,Mixed Content
http://www.5mp.eu/fajlok2/igacpt/index_www.5mp.eu_.html,phishing,Mixed Content
https://linkurl.pk/iSpq6EdU,phishing,Typosquatting
https://self-care.it/,phishing,Typosquatting
http://pub-3ccb5fff62854f25b35afbdebcef3b4e.r2.dev/myc/index.html,phishing,Mixed Content
http://jokersec0120.github.io/visit,phishing,Mixed Content
http://om472739-dotcom.github.io/security-update-center,phishing,Mixed Content
http://docs-trezoon-cdni.webflow.io/,phishing,Mixed Content
http://loginkkuicoin.webflow.io/,phishing,Mixed Content
http://portal-ndx-io-loggin.webflow.io/,phishing,Mixed Content
http://www.robiox.com.py/users/374623175736/profile,phishing,Mixed Content
http://ecommerce-clone-ashy.vercel.app/,phishing,Mixed Content
http://bitmartalogins.webflow.io/,phishing,Mixed Content
http://aktifkan-fitur-danaxpay.ali2p.my.id/Danaweb/,phishing,Mixed Content
http://aktifkan-fitur-danaxpay.ali2p.my.id/,phishing,Mixed Content
http://www.5mp.eu/fajlok2/email/index_www.5mp.eu_.html,phishing,Mixed Content
http://ptfuturewebinarfrellanceeece.net/,phishing,Mixed Content
http://brookhavenrp.site/,phishing,Suspicious TLDs
http://lidgeirlivewallet.webflow.io/,phishing,Mixed Content
https://cn.1mebetx.com/home/register?code=39593,phishing,Typosquatting
http://granpampa30.com/,phishing,Mixed Content
http://auth-netcoins-canada-sso.webflow.io/,phishing,Mixed Content
http://www.robiox.com.py/users/345263940183/profile,phishing,Mixed Content
https://app-netcoinss.webflow.io/,phishing,Typosquatting
http://www.webmail-hs-pforzhei-de.weebly.com/,phishing,Mixed Content
https://www.biglobe.duckdns.org/,phishing,Typosquatting
https://www.pedagiodigital-gilt.vercel.app/,phishing,Typosquatting
https://fidus6282-collab.github.io/Thebestsafesite,phishing,Typosquatting
http://case02.agency-partnerhub-platform.com/,phishing,Mixed Content
http://elonmusk0w0w0-dev.github.io/posts/,phishing,Mixed Content
http://instagram.jessica-garrido.fr/,phishing,Mixed Content
http://precitecsaws.com/.well-known/.Greate,phishing,Mixed Content
https://app-swisborg.webflow.io/,phishing,Typosquatting
http://instagram-clone-kappa-eight.vercel.app/,phishing,Mixed Content
